No body temperature. Small food and battery usage. Best for beginners.;//easy difficulty level description
    4;//parameter0
    0.01;//parameter1
    0;//parameter2
    -1.0;//parameter3
  drain health if health too high;//description
  7;//specialty 
    0;//difficulty level
    none;//message
    0;//parameter0
    1.01;//parameter1
    0;//parameter2
    -5;//parameter3
  drain health faster if health too high;//description
  7;//specialty 
    0;//difficulty level
    none;//message
    0;//parameter0
    1.25;//parameter1
    0;//parameter2
    -5;//parameter3
  drain battery if battery too high;//description
  7;//specialty
    0;//difficulty level
    none;//message
    1;//parameter0
    1.01;//parameter1
    1;//parameter2
    -2.0;//parameter3
  drain health if battery too low;//description Psychic Backlash
  6;//specialty 
    0;//difficulty level
    none;//message
    1;//parameter0
    0.01;//parameter1
    0;//parameter2
    -2.0;//parameter3
  drain health if temperature too high;//description
  7;//specialty
    1;//difficulty level
    You are having a heat stroke! Find shade under a tree.;//message
    2;//parameter0
    0.9;//parameter1
    0;//parameter2
    -1.7;//parameter3
  drain health if temperature too low;//description
  6;//specialty 
    1;//difficulty level
    You are freezing! Find warmth.;//message
    2;//parameter0
    0.1;//parameter1
    0;//parameter2
    -1.7;//parameter3
  decrease time distortion bar;//description bookmark
  7;//specialty 
    0;//difficulty level
    none;//message
    11;//parameter0
    0;//parameter1
    11;//parameter2
    -20;//parameter3
  Start with Psionic Key;//description
  3;//specialty 
    0;//difficulty level
    none;//message
    135;//parameter0
    1;//parameter1
    0;//parameter2
    0;//parameter3
  Can't drop Psionic Items;//description
  0;//specialty 
    0;//difficulty level
    none;//message
    5;//parameter0
    0;//parameter1
    0;//parameter2
    0;//parameter3
  Start with Heat Token;//description
  3;//specialty  
    0;//difficulty level
    none;//message
    136;//parameter0
    1;//parameter1
    0;//parameter2
    0;//parameter3
  Start with Mass Token;//description
  3;//specialty  
    0;//difficulty level
    none;//message
    137;//parameter0
    1;//parameter1
    0;//parameter2
    0;//parameter3
  Start with Motion Token;//description
  3;//specialty  
    0;//difficulty level
    none;//message
    138;//parameter0
    1;//parameter1
    0;//parameter2
    0;//parameter3
  Start with pick up;//description
  3;//specialty 
    0;//difficulty level
    none;//message
    197;//parameter0
    1;//parameter1
    0;//parameter2
    0;//parameter3
  cannot drop pick up;//description
  4;//specialty 
    0;//difficulty level
    none;//message
    197;//parameter0
    0;//parameter1
    0;//parameter2
    0;//parameter3
  Start with Open Inventory;//description
  3;//specialty 
    0;//difficulty level
    none;//message
    206;//parameter0
    1;//parameter1
    0;//parameter2
    0;//parameter3
  Start with Open Inventory X;//description
  3;//specialty 
    0;//difficulty level
    none;//message
    207;//parameter0
    1;//parameter1
    0;//parameter2
    0;//parameter3
  Right Hand Slot;//description
  2;//specialty  
    0;//difficulty level
    slot.png;//message
    0;//parameter0
    15;//parameter1
    140;//parameter2
    0;//parameter3
  Left Hand Slot;//description
  2;//specialty  
    0;//difficulty level
    slot.png;//message
    1;//parameter0
    175;//parameter1
    140;//parameter2
    0;//parameter3
  Body Slot;//description
  2;//specialty 
    0;//difficulty level
    slot.png;//message
    2;//parameter0
    95;//parameter1
    120;//parameter2
    0;//parameter3
  Feet Slot;//description
  2;//specialty  
    0;//difficulty level
    slot.png;//message
    3;//parameter0
    95;//parameter1
    220;//parameter2
    0;//parameter3
  Head Slot;//description
  2;//specialty  
    0;//difficulty level
    slot.png;//message
    4;//parameter0
    95;//parameter1
    -20;//parameter2
    0;//parameter3  
end_specialties;
begin_disabled_endings;
end_disabled_endings;
begin_disabled_item_classes;
  0;
  Psionics cannot use this item.;//message
  3;
  Exclusive to Alien.;//message
  4;
  Exclusive to Android.;//message
  7;
  Exclusive to Humans and Androids.;//message
  6;
  Psionics can't use this tool.;//message
end_disabled_item_classes;
Escape Pod;//name------------------------------
4;//identifier
0;//visible in start menu
0;//side
0;//start area
journal_empty.dat;//journal text file name
none;//description in start menu
57;//creature number in creatures.dat
2;//start animation number in animation.dat
200;//day length
120;//maximum carry weight
0.0;//climatic temperature change multiplier
invisible.png;//rag doll texture
computer.png;//interface texture
begin_weapon_frames;//must contain all weapon classes in order starting from 0
  0;//weapon class number
    0;//can use the weapon class (0=cannot, 1=can)
    invisible.png;texture name
    2;//row that contains the 4 weapon frames
    0.000000;//weapon_x
    0.000000;//weapon_y
  1;//weapon class number
    0;//can use the weapon class (0=cannot, 1=can)
    invisible.png;texture name
    2;//row that contains the 4 weapon frames
    0.000000;//weapon_x
    0.000000;//weapon_y
  2;//weapon class number
    0;//can use the weapon class (0=cannot, 1=can)
    invisible.png;texture name
    2;//row that contains the 4 weapon frames
    0.000000;//weapon_x
    0.000000;//weapon_y
  3;//weapon class number
    0;//can use the weapon class (0=cannot, 1=can)
    invisible.png;texture name
    2;//row that contains the 4 weapon frames
    0.000000;//weapon_x
    0.000000;//weapon_y
  4;//weapon class number
    0;//can use the weapon class (0=cannot, 1=can)
    invisible.png;texture name
    2;//row that contains the 4 weapon frames
    0.000000;//weapon_x
    0.000000;//weapon_y
  5;//weapon class number
    0;//can use the weapon class (0=cannot, 1=can)
    invisible.png;texture name
    2;//row that contains the 4 weapon frames
    0.000000;//weapon_x
    0.000000;//weapon_y
  6;//weapon class number
    0;//can use the weapon class (0=cannot, 1=can)
    invisible.png;texture name
    2;//row that contains the 4 weapon frames
    0.000000;//weapon_x
    0.000000;//weapon_y
  7;//weapon class number
    0;//can use the weapon class (0=cannot, 1=can)
    invisible.png;texture name
    2;//row that contains the 4 weapon frames
    0.000000;//weapon_x
    0.000000;//weapon_y
  8;//weapon class number
    0;//can use the weapon class (0=cannot, 1=can)
    invisible.png;texture name
    2;//row that contains the 4 weapon frames
    0.000000;//weapon_x
    0.000000;//weapon_y
  9;//weapon class number
    0;//can use the weapon class (0=cannot, 1=can)
    invisible.png;texture name
    2;//row that contains the 4 weapon frames
    0.000000;//weapon_x
    0.000000;//weapon_y
  10;//weapon class number
    0;//can use the weapon class (0=cannot, 1=can)
    invisible.png;texture name
    2;//row that contains the 4 weapon frames
    0.000000;//weapon_x
    0.000000;//weapon_y
  11;//weapon class number
    0;//can use the weapon class (0=cannot, 1=can)
    invisible.png;texture name
    2;//row that contains the 4 weapon frames
    0.000000;//weapon_x
    0.000000;//weapon_y
end_weapon_frames;
begin_specialties;  
  health bar;//description
  5;//specialty 
    0;//difficulty level
    none;//message
    0.000000;//parameter0
    0.000000;//parameter1
    170.000000;//parameter2
    170.000000;//parameter3
end_specialties;
begin_disabled_endings;
end_disabled_endings;
begin_disabled_item_classes;
end_disabled_item_classes;
end_of_file;


difficulty levels:
-2=easy
-1=easy,medium
0=easy,medium,hard
1=medium,hard
2=hard


specialties:
0=cannot drop item class parameter0
1=?
2=has item slot parameter0, ragdoll x=parameter1, ragdoll y=parameter2, texture=message
3=start with item parameter0 amount parameter1
4=cannot drop item parameter0
5=has bar number parameter0 from bars.dat with minimum of parameter1 and maximum of parameter2 and current value of parameter3 (cumulative to creatures.dat specialties)
6=if bar parameter0 < parameter1 percent, increase bar parameter2 by parameter3
7=if bar parameter0 > parameter1 percent, increase bar parameter2 by parameter3
